timestamp,open,high,low,close,volume,quote_volume,trades
2025-09-10,880.0,907.38,877.04,893.77,306830.178,274181538.835692,870907
2025-09-11,893.77,904.53,888.38,902.77,179913.182,161378078.80814,594895
2025-09-12,902.77,929.9,901.41,924.8,240267.9372,219285340.4397861,864607
2025-09-13,924.81,943.86,922.11,933.68,251751.2324,234836986.2596412,951149
2025-09-14,933.68,944.95,921.91,926.51,159814.975,149043322.80995,733414
2025-09-15,926.51,935.72,910.64,919.68,175249.087,161428141.25427,887020
2025-09-16,919.68,959.0,916.66,955.65,284918.8385,267637447.7470392,1095803
2025-09-17,955.65,995.44,946.1,989.98,362193.1958,348652678.6945979,1312915
2025-09-18,989.97,1006.88,979.48,981.04,402672.5617,400199947.4299975,1191548
2025-09-19,981.05,1002.99,973.9,984.1,333582.761,329790921.50354,1203920
2025-09-20,984.1,1048.0,982.9,1043.77,380966.0766,385737171.3124027,1387842
2025-09-21,1043.77,1083.47,1039.2,1047.8,464411.2823,492520656.676001,1957353
2025-09-22,1047.8,1050.55,976.89,992.9,588730.396,596953882.44591,2238187
2025-09-23,992.9,1027.37,962.38,1015.98,420071.07,421467277.89249,1841480
2025-09-24,1015.98,1034.5,991.46,1018.49,363049.882,369092358.89094,1604582
2025-09-25,1018.49,1019.9,939.55,945.9,635121.254,621318167.97413,2137489
2025-09-26,945.9,966.23,932.01,960.8,384757.514,364408611.11634,1633419
2025-09-27,960.81,985.79,955.56,968.45,245246.415,238037235.70271,1042251
2025-09-28,968.46,993.65,962.68,993.01,188486.48,183624760.07743,890962
2025-09-29,993.01,1036.0,991.12,1029.79,291982.5,295253054.46815,1569259
2025-09-30,1029.79,1034.01,992.93,1008.51,258830.971,261981911.10553,1437959
2025-10-01,1008.51,1036.2,1003.35,1026.5,269007.811,274516783.81454,1361838
2025-10-02,1026.5,1099.22,1022.01,1090.22,380679.445,401900249.30658,1876448
2025-10-03,1090.22,1192.42,1083.84,1189.4,744996.7206,842965061.361557,3184974
2025-10-04,1189.4,1190.47,1134.93,1150.75,337438.509,390930674.94389,1735291
2025-10-05,1150.75,1189.0,1143.14,1167.38,306730.178,357420641.03322,1748354
2025-10-06,1167.38,1239.94,1161.85,1223.19,587477.5601,711781233.380627,2594739
2025-10-07,1223.17,1349.99,1204.61,1304.43,1351678.4887,1737403256.538668,5035273
2025-10-08,1304.43,1334.19,1264.32,1307.4,826555.123,1076913281.89229,3491480
2025-10-09,1307.4,1320.0,1224.38,1255.35,925627.604,1178510754.12517,3147403
2025-10-10,1255.35,1278.52,860.11,1102.47,1505025.673,1738588911.96338,4860775
2025-10-11,1102.57,1182.76,1073.0,1135.07,1050905.245,1181376420.04246,4839241
2025-10-12,1135.07,1319.8,1107.43,1302.65,1205248.016,1490023746.48351,5001950
2025-10-13,1302.65,1375.11,1251.28,1294.55,1483076.9719,1944702007.14038,5971974
2025-10-14,1294.54,1318.26,1143.01,1208.52,1398659.782,1691229151.13683,6244627
2025-10-15,1208.55,1222.76,1148.92,1162.57,707327.747,836699442.94997,3590517
2025-10-16,1162.57,1195.0,1122.31,1144.83,716826.497,835695242.85643,3898793
2025-10-17,1144.83,1156.3,1021.0,1071.15,1066221.771,1143128765.33737,5122105
2025-10-18,1071.15,1131.05,1069.41,1092.43,419996.517,462124290.22768,2270208
2025-10-19,1092.42,1133.76,1068.04,1109.88,409987.572,451830662.14455,2153017
2025-10-20,1109.88,1143.2,1088.19,1100.19,481311.055,535214259.16311,2579921
2025-10-21,1100.2,1114.53,1052.46,1057.16,541524.501,586956054.55562,2763340
2025-10-22,1057.16,1083.8,1053.25,1071.82,397249.062,424924796.09075,2326963
2025-10-23,1071.83,1161.9,1071.83,1126.72,774946.718,864047274.96687,3416697
2025-10-24,1126.71,1144.17,1097.39,1109.01,342712.642,385108586.81592,1924437
2025-10-25,1109.0,1120.89,1100.96,1116.53,162716.583,181193804.95172,845838
2025-10-26,1116.53,1143.35,1114.48,1138.19,240939.545,272038928.2965,1275693
2025-10-27,1138.19,1182.6,1131.44,1138.88,494467.695,569610822.72901,2424722
2025-10-28,1138.88,1148.94,1074.0,1103.45,351579.17,395192652.3363,2071891
2025-10-29,1103.45,1121.35,1082.59,1107.7,459713.496,510072430.34674,2344960
2025-10-30,1107.7,1129.55,1043.48,1079.05,508291.657,554615753.48928,2818780
2025-10-31,1079.06,1104.93,1071.43,1088.9,537669.646,584994779.09792,2726472
2025-11-01,1088.9,1096.93,1081.8,1094.53,163493.548,178160836.27944,851250
2025-11-02,1094.54,1094.92,1071.74,1083.25,132402.548,143615965.50532,808562
2025-11-03,1083.25,1087.24,960.18,993.54,685198.885,695307374.09516,3297405
2025-11-04,993.54,1002.12,880.8,936.77,985275.518,924046511.24224,4907198
2025-11-05,936.79,969.27,900.39,959.33,526144.027,497402208.36976,2910960
2025-11-06,959.32,965.23,925.07,950.4,312622.425,295927015.25126,1985255
2025-11-07,950.4,995.6,925.7,991.15,452713.504,434871852.02567,2719761
2025-11-08,991.14,1007.41,980.05,991.03,301705.689,300155965.29685,1766264
2025-11-09,991.01,1007.16,975.84,996.63,256660.748,254503411.11084,1363066
2025-11-10,996.63,1019.56,976.22,991.98,281128.796,280689673.13887,1713723
2025-11-11,991.99,1008.6,956.08,958.08,283951.869,278122345.76054,1791482
2025-11-12,958.08,978.61,937.9,952.86,216987.116,207895272.16893,1541836
2025-11-13,952.87,972.2,905.72,927.15,334345.078,314259121.5093,2155736
2025-11-14,927.15,934.04,887.88,920.41,393403.196,359868279.68307,2500657
